ratio_id,ratio_name,category,nice_column,matched_n,pearson_corr,spearman_corr,median_abs_diff,p95_abs_diff,scale_factor_suspected,formula_mismatch_suspected,audit_decision
R001,매출총이익률,수익성,매출액총이익률(IFRS),0,,,,,,False,no_precomputed_match
R002,영업이익률,수익성,매출액정상영업이익률(IFRS),0,,,,,,False,no_precomputed_match
R003,정상영업이익률,수익성,매출액정상영업이익률(IFRS),0,,,,,,False,no_precomputed_match
R004,EBIT마진,수익성,,0,,,,,,False,no_precomputed_match
R005,EBITDA마진,수익성,,0,,,,,,False,no_precomputed_match
R006,세전이익률,수익성,,0,,,,,,False,no_precomputed_match
R007,순이익률,수익성,매출액순이익률(IFRS),0,,,,,,False,no_precomputed_match
R008,계속사업이익률,수익성,,0,,,,,,False,no_precomputed_match
R009,총포괄이익률,수익성,,0,,,,,,False,no_precomputed_match
R010,영업현금흐름마진,수익성,,0,,,,,,False,no_precomputed_match
R012,매출총이익/총자산,수익성,,0,,,,,,False,no_precomputed_match
R013,영업이익/총자산,수익성,총자본정상영업이익률(IFRS),0,,,,,,False,no_precomputed_match
R014,EBIT/총자산,수익성,,0,,,,,,False,no_precomputed_match
R015,EBITDA/총자산,수익성,,0,,,,,,False,no_precomputed_match
R016,세전이익/총자산,수익성,,0,,,,,,False,no_precomputed_match
R017,당기순이익/총자산(ROA),수익성,총자본순이익률(IFRS),0,,,,,,False,no_precomputed_match
R018,총포괄이익/총자산,수익성,,0,,,,,,False,no_precomputed_match
R019,영업현금흐름/총자산,수익성,,0,,,,,,False,no_precomputed_match
R021,영업이익/자기자본,수익성,,0,,,,,,False,no_precomputed_match
R022,당기순이익/자기자본(ROE),수익성,자기자본순이익률(IFRS),0,,,,,,False,no_precomputed_match
R023,총포괄이익/자기자본,수익성,,0,,,,,,False,no_precomputed_match
R031,현금이익전환율,수익성,,0,,,,,,False,no_precomputed_match
R032,영업현금흐름/영업이익,수익성,,0,,,,,,False,no_precomputed_match
R033,EBITDA 대비 OCF,수익성,,0,,,,,,False,no_precomputed_match
R043,부채비율,안정성,부채비율(IFRS),0,,,,,,False,no_precomputed_match
R044,총부채/총자산,안정성,,0,,,,,,False,no_precomputed_match
R045,자기자본비율,안정성,자기자본구성비율(IFRS),0,,,,,,False,no_precomputed_match
R046,차입금의존도,안정성,차입금의존도(IFRS),0,,,,,,False,no_precomputed_match
R047,순차입금의존도,안정성,,0,,,,,,False,no_precomputed_match
R048,유이자부채/총자산,안정성,,0,,,,,,False,no_precomputed_match
R049,금융부채/총부채,안정성,,0,,,,,,False,no_precomputed_match
R050,총차입금/자기자본,안정성,,0,,,,,,False,no_precomputed_match
R051,순차입금/자기자본,안정성,,0,,,,,,False,no_precomputed_match
R052,유이자부채/자기자본,안정성,,0,,,,,,False,no_precomputed_match
R053,유동부채비율,안정성,,0,,,,,,False,no_precomputed_match
R054,비유동부채비율,안정성,비유동부채비율(IFRS),0,,,,,,False,no_precomputed_match
R055,유동부채/총부채,안정성,,0,,,,,,False,no_precomputed_match
R056,비유동부채/총부채,안정성,,0,,,,,,False,no_precomputed_match
R057,단기차입금비중,안정성,,0,,,,,,False,no_precomputed_match
R058,장기차입금비중,안정성,,0,,,,,,False,no_precomputed_match
R059,단기금융부채/총자산,안정성,,0,,,,,,False,no_precomputed_match
